Surname,Name,Nationality,Commons File name,Commons Personal category,Wikidata ID
Lavanga,Antonio Jun,ITA,File:Antonio Jun Lavanga (Legavolley 2017).jpg,Category:Antonio Jun Lavanga,Q46994827
Lavia,Daniele,ITA,File:Daniele Lavia (Legavolley 2017).jpg,Category:Daniele Lavia,Q46994831
Lazzaretto,Enrico,ITA,File:Enrico Lazzaretto (Legavolley 2017).jpg,Category:Enrico Lazzaretto,Q46994833
Leone,Michele,ITA,File:Michele Leone (Legavolley 2017).jpg,Category:Michele Leone,Q46994836
Leoni,Giacomo,ITA,File:Giacomo Leoni (Legavolley 2017).jpg,Category:Giacomo Leoni (volleyball player),Q46994843
Libraro,Enrico,ITA,File:Enrico Libraro (Legavolley 2017).jpg,Category:Enrico Libraro,Q46994845
Link,Jacob,SWE,File:Jacob Link (Legavolley 2017).jpg,Category:Jacob Link,Q46997654
Lipinski,Bartlomiej,ITA,File:Bartlomiej Lipinski (Legavolley 2017).jpg,Category:Bartlomiej Lipinski,Q46994846
Loglisci,Gianluca,ITA,File:Gianluca Loglisci (Legavolley 2017).jpg,Category:Gianluca Loglisci,Q46994847
Longo,Giuseppe,ITA,File:Giuseppe Longo (Legavolley 2017).jpg,Category:Giuseppe Longo,Q46994848
Losco,Fabio,ITA,File:Fabio Losco (Legavolley 2017).jpg,Category:Fabio Losco,Q46994850
Lucarelli,Marco,ITA,File:Marco Lucarelli (Legavolley 2017).jpg,Category:Marco Lucarelli,Q46994856
Lugli,Leonardo,ITA,File:Leonardo Lugli (Legavolley 2017).jpg,Category:Leonardo Lugli,Q46994857
Luppi,Oreste,ITA,File:Oreste Luppi (Legavolley 2017).jpg,Category:Oreste Luppi,Q46994859
Maccabruni,Filippo,ITA,File:Filippo Maccabruni (Legavolley 2017).jpg,Category:Filippo Maccabruni,Q46994861
Maccarone,Graziano,ITA,File:Graziano Maccarone (Legavolley 2017).jpg,Category:Graziano Maccarone,Q46994865
Maffeis,Filippo,ITA,File:Filippo Maffeis (Legavolley 2017).jpg,Category:Filippo Maffeis,Q46994870
Maiorana,Domenico,ITA,File:Domenico Maiorana (Legavolley 2017).jpg,Category:Domenico Maiorana,Q46994871
Manginelli,Mario,ITA,File:Mario Manginelli (Legavolley 2017).jpg,Category:Mario Manginelli,Q46994873
Manià,Loris,ITA,File:Loris Manià (Legavolley 2017).jpg,Category:Loris Manià,Q3837163
Marchiani,Manuele,ITA,File:Manuele Marchiani (Legavolley 2017).jpg,Category:Manuele Marchiani,Q11767206
Marchini,Stefano,ITA,File:Stefano Marchini (Legavolley 2017).jpg,Category:Stefano Marchini,Q46994878
Marchisio,Andrea,ITA,File:Andrea Marchisio (Legavolley 2017).jpg,Category:Andrea Marchisio,Q11685751
Margutti,Pietro,ITA,File:Pietro Margutti (Legavolley 2017).jpg,Category:Pietro Margutti,Q46994880
Mariano,Romolo,ITA,File:Romolo Mariano (Legavolley 2017).jpg,Category:Romolo Mariano,Q46994882
Mariella,Giulio,ITA,File:Giulio Mariella (Legavolley 2017).jpg,Category:Giulio Mariella,Q46994888
Marinelli,Michele,ITA,File:Michele Marinelli (Legavolley 2017).jpg,Category:Michele Marinelli,Q46994890
Marra,Alberto,ITA,File:Alberto Marra (Legavolley 2017).jpg,Category:Alberto Marra,Q46994893
Marra,Davide,ITA,File:Davide Marra (Legavolley 2017).jpg,Category:Davide Marra,Q3019096
Marra,Emanuele Maria,ITA,File:Emanuele Maria Marra (Legavolley 2017).jpg,Category:Emanuele Maria Marra,Q46994894
Marrazzo,Federico,ITA,File:Federico Marrazzo (Legavolley 2017).jpg,Category:Federico Marrazzo,Q46900417
Marretta,Federico,ITA,File:Federico Marretta (Legavolley 2017).jpg,Category:Federico Marretta,Q46994919
Marsili,Sebastiano,ITA,File:Sebastiano Marsili (Legavolley 2017).jpg,Category:Sebastiano Marsili (volleyball player),Q46994940
