Surname,Name,Nationality,Commons File name,Commons Personal category,Wikidata ID
Salsi,Nicola,ITA,File:Nicola Salsi (Legavolley 2017).jpg,Category:Nicola Salsi,Q46995174
Sander,Taylor,USA,File:Taylor Sander (Legavolley 2017).jpg,Category:Taylor Sander,Q16612430
Santangelo,Andrea,ITA,File:Andrea Santangelo (Legavolley 2017).jpg,Category:Andrea Santangelo,Q46995176
Santucci,Marco,ITA,File:Marco Santucci (Legavolley 2017).jpg,Category:Marco Santucci (volleyball player),Q46995178
Sartori,Luca,ITA,File:Luca Sartori (Legavolley 2017).jpg,Category:Luca Sartori,Q46995181
Saturnino,Alessandro,ITA,File:Alessandro Saturnino (Legavolley 2017).jpg,Category:Alessandro Saturnino,Q46995182
Savani,Cristian,ITA,File:Cristian Savani (Legavolley 2017).jpg,Category:Cristian Savani,Q920767
Sbertoli,Riccardo,ITA,File:Riccardo Sbertoli (Legavolley 2017).jpg,Category:Riccardo Sbertoli,Q29635938
Scopelliti,Simone,ITA,File:Simone Scopelliti (Legavolley 2017).jpg,Category:Simone Scopelliti,Q16268751
Segoni,Matteo,ITA,File:Matteo Segoni (Legavolley 2017).jpg,Category:Matteo Segoni,Q46995184
Sesto,Nicola,ITA,File:Nicola Sesto (Legavolley 2017).jpg,Category:Nicola Sesto,Q46995186
Sette,Felice,ITA,File:Felice Sette (Legavolley 2017).jpg,Category:Felice Sette,Q46995188
Seveglievich,Nicolò,ITA,File:Nicolò Seveglievich (Legavolley 2017).jpg,Category:Nicolò Seveglievich,Q46995189
Shavrak,Dmitriy,UKR,File:Dmitriy Shavrak (Legavolley 2017).jpg,Category:Dmitriy Shavrak,Q46997772
Shaw,James,USA,File:James Shaw (Legavolley 2017).jpg,Category:James Shaw (volleyball player),Q24005138
Shoji,Erik Thomas,USA,File:Erik Thomas Shoji (Legavolley 2017).jpg,Category:Erik Thomas Shoji,Q46997946
Shoji,Kawika,USA,File:Kawika Shoji (Legavolley 2017).jpg,Category:Kawika Shoji,Q1737351
Sideri,Francesco,ITA,File:Francesco Sideri (Legavolley 2017).jpg,Category:Francesco Sideri,Q46995190
Silva,Giulio,ITA,File:Giulio Silva (Legavolley 2017).jpg,Category:Giulio Silva,Q46995193
Simoni,Michele,ITA,File:Michele Simoni (Legavolley 2017).jpg,Category:Michele Simoni,Q46995194
Sitti,Alessio,ITA,File:Alessio Sitti (Legavolley 2017).jpg,Category:Alessio Sitti,Q46995195
Smiriglia,Antonio,ITA,File:Antonio Smiriglia (Legavolley 2017).jpg,Category:Antonio Smiriglia,Q46995197
Snippe,Jan Willem,NED,File:Jan Willem Snippe (Legavolley 2017).jpg,Category:Jan Willem Snippe,Q3806951
Sordella,Luigi,ITA,File:Luigi Sordella (Legavolley 2017).jpg,Category:Luigi Sordella,Q46995199
Sorgente,Alessandro,ITA,File:Alessandro Sorgente (Legavolley 2017).jpg,Category:Alessandro Sorgente,Q46995200
Sorlini,Emanuele,ITA,File:Emanuele Sorlini (Legavolley 2017).jpg,Category:Emanuele Sorlini,Q46995201
Sottile,Daniele,ITA,File:Daniele Sottile (Legavolley 2017).jpg,Category:Daniele Sottile,Q3702084
Spadavecchia,Vincenzo,ITA,File:Vincenzo Spadavecchia (Legavolley 2017).jpg,Category:Vincenzo Spadavecchia,Q22069570
Spagnuolo,Luca,ITA,File:Luca Spagnuolo (Legavolley 2017).jpg,Category:Luca Spagnuolo,Q46995205
Spampinato,Emanuele,ITA,File:Emanuele Spampinato (Legavolley 2017).jpg,Category:Emanuele Spampinato,Q46995206
Sperandio,Matteo,ITA,File:Matteo Sperandio (Legavolley 2017).jpg,Category:Matteo Sperandio,Q46995207
Sperotto,Lorenzo,ITA,File:Lorenzo Sperotto (Legavolley 2017).jpg,Category:Lorenzo Sperotto,Q46995209
Spirito,Luca,ITA,File:Luca Spirito (Legavolley 2017).jpg,Category:Luca Spirito,Q18419014
Stankovic,Dragan,SRB,File:Dragan Stankovic (Legavolley 2017).jpg,Category:Dragan Stanković,Q1254625
Starovic,Sasha,SRB,File:Sasha Starovic (Legavolley 2017).jpg,Category:Saša Starović,Q2121480
Statuto,Enrico,ITA,File:Enrico Statuto (Legavolley 2017).jpg,Category:Enrico Statuto,Q46995212
Stefani,Tommaso,ITA,File:Tommaso Stefani (Legavolley 2017).jpg,Category:Tommaso Stefani,Q46995213
Stern,Toncek,SLO,File:Toncek Stern (Legavolley 2017).jpg,Category:Toncek Stern,Q28967856
Suraci,Antonino,ITA,File:Antonino Suraci (Legavolley 2017).jpg,Category:Antonino Suraci,Q46995218
Taliani,Filippo,ITA,File:Filippo Taliani (Legavolley 2017).jpg,Category:Filippo Taliani,Q46995222
Tamburo,Vincenzo,ITA,File:Vincenzo Tamburo (Legavolley 2017).jpg,Category:Vincenzo Tamburo,Q4013538
Tartaglione,Simmaco,ITA,File:Simmaco Tartaglione (Legavolley 2017).jpg,Category:Simmaco Tartaglione,Q23857386
Tasholli,Fatijon,ITA,File:Fatijon Tasholli (Legavolley 2017).jpg,Category:Fatijon Tasholli,Q46995224
Terpin,Jernej,ITA,File:Jernej Terpin (Legavolley 2017).jpg,Category:Jernej Terpin,Q46995230
Thei,Sebastiano,ITA,File:Sebastiano Thei (Legavolley 2017).jpg,Category:Sebastiano Thei,Q15918507
Tiberti,Simone,ITA,File:Simone Tiberti (Legavolley 2017).jpg,Category:Simone Tiberti,Q3961278
Tiozzo,Nicola,ITA,File:Nicola Tiozzo (Legavolley 2017).jpg,Category:Nicola Tiozzo,Q31062985
Tomassetti,Daniele,ITA,File:Daniele Tomassetti (Legavolley 2017).jpg,Category:Daniele Tomassetti,Q17285725
Tondo,Alessandro,ITA,File:Alessandro Tondo (Legavolley 2017).jpg,Category:Alessandro Tondo,Q44600418
Torchia,Ernesto,ITA,File:Ernesto Torchia (Legavolley 2017).jpg,Category:Ernesto Torchia,Q46995236
Torre,Andrea,ITA,File:Andrea Torre (Legavolley 2017).jpg,Category:Andrea Torre,Q46995241
Torsello,Mirko,ITA,File:Mirko Torsello (Legavolley 2017).jpg,Category:Mirko Torsello,Q46995244
Toscani,Alessandro,ITA,File:Alessandro Toscani (Legavolley 2017).jpg,Category:Alessandro Toscani,Q46995248
Tosi,Federico,ITA,File:Federico Tosi (Legavolley 2017).jpg,Category:Federico Tosi,Q16555547
Travica,Dragan,ITA,File:Dragan Travica (Legavolley 2017).jpg,Category:Dragan Travica,Q1254642
Tulone,Calogero,ITA,File:Calogero Tulone (Legavolley 2017).jpg,Category:Calogero Tulone,Q46995250
Turla,Alessandro,ITA,File:Alessandro Turla (Legavolley 2017).jpg,Category:Alessandro Turla,Q46995255
Urnaut,Tine,SLO,File:Tine Urnaut (Legavolley 2017).jpg,Category:Tine Urnaut,Q630584
Usai,Valeriano,ITA,File:Valeriano Usai (Legavolley 2017).jpg,Category:Valeriano Usai,Q46995257
Vacchiano,Marco,ITA,File:Marco Vacchiano (Legavolley 2017).jpg,Category:Marco Vacchiano,Q46995258
Valenti,Simone,ITA,File:Simone Valenti (Legavolley 2017).jpg,Category:Simone Valenti,Q46995262
Valsecchi,Damiano,ITA,File:Damiano Valsecchi (Legavolley 2017).jpg,Category:Damiano Valsecchi,Q3701274
Van Garderen,Maarten,NED,File:Maarten Van Garderen (Legavolley 2017).jpg,Category:Maarten Van Garderen,Q16661854
Vecchi,Riccardo,ITA,File:Riccardo Vecchi (Legavolley 2017).jpg,Category:Riccardo Vecchi,Q46995265
Vedovotto,Filippo,ITA,File:Filippo Vedovotto (Legavolley 2017).jpg,Category:Filippo Vedovotto,Q17423133
Vega,Gabriel Michael,USA,File:Gabriel Michael Vega (Legavolley 2017).jpg,Category:Gabriel Michael Vega,Q46998003
Vettori,Luca,ITA,File:Luca Vettori (Legavolley 2017).jpg,Category:Luca Vettori,Q15014899
Villotti,Diego,ITA,File:Diego Villotti (Legavolley 2017).jpg,Category:Diego Villotti,Q46995268
Vitelli,Marco,ITA,File:Marco Vitelli (Legavolley 2017).jpg,Category:Marco Vitelli,Q40991894
Volpato,Marco,ITA,File:Marco Volpato (Legavolley 2017).jpg,Category:Marco Volpato,Q21030457
Walsh,Brett James,USA,File:Brett James Walsh (Legavolley 2017).jpg,Category:Brett James Walsh,Q26837733
Yoder,Lucas,USA,File:Lucas Yoder (Legavolley 2017).jpg,Category:Lucas Yoder,Q46998004
Zaccari,Leon,ITA,File:Leon Zaccari (Legavolley 2017).jpg,Category:Leon Zaccari,Q46995274
Zamagni,Matteo,ITA,File:Matteo Zamagni (Legavolley 2017).jpg,Category:Matteo Zamagni,Q46995280
Zanardini,Massimo,ITA,File:Massimo Zanardini (Legavolley 2017).jpg,Category:Massimo Zanardini,Q46995283
Zanettin,Ivan,VEN,File:Ivan Zanettin (Legavolley 2017).jpg,Category:Ivan Zanettin,Q46998006
Zanini,Matteo,ITA,File:Matteo Zanini (Legavolley 2017).jpg,Category:Matteo Zanini,Q46995287
Zanni,Michael,ITA,File:Michael Zanni (Legavolley 2017).jpg,Category:Michael Zanni,Q46995288
Zauli,Marco,ITA,File:Marco Zauli (Legavolley 2017).jpg,Category:Marco Zauli,Q46995289
Zaytsev,Ivan,ITA,File:Ivan Zaytsev (Legavolley 2017).jpg,Category:Ivan Zaytsev (volleyball player),Q661579
Zonca,Paolo,ITA,File:Paolo Zonca (Legavolley 2017).jpg,Category:Paolo Zonca,Q46995293
Zoppellari,Francesco,ITA,File:Francesco Zoppellari (Legavolley 2017).jpg,Category:Francesco Zoppellari,Q46995294
