Name,Surname,Nome file,Wikidata ID
Robert,Horstink,Robert Horstink (Legavolley 2014),Q747329
Michal,Hrazdira,Michal Hrazdira (Legavolley 2014),Q11778531
Pei-Hung,Huang,Pei-Hung Huang (Legavolley 2018),Q16908354
Andrea,Hueller,Andrea Hueller (Legavolley 2015),Q55265899
Gazmend,Husaj,Gazmend Husaj (Legavolley 2013),Q16268450
Gianluca,Iaccarino,Gianluca Iaccarino (Legavolley 2016),Q55265902
Daniele,Illuzzi,Daniele Illuzzi (Legavolley 2011),Q55265904
Antonino,Imbesi,Antonino Imbesi (Legavolley 2016),Q55265906
Vito,Insalata,Vito Insalata (Legavolley 2011),Q55265909
Aurelio,Inserra,Aurelio Inserra (Legavolley 2011),Q55265907
Vito,Iurlaro,Vito Iurlaro (Legavolley 2011),Q55265910
Axel,Jacobsen,Axel Jacobsen (Legavolley 2012),Q792207
Eerik,Jago,Eerik Jago (Legavolley 2011),Q1456048
Nemanja,Jakovljevic,Nemanja Jakovljevic (Legavolley 2013),Q26250977
Peter,Janusek,Peter Janusek (Legavolley 2012),Q22278363
Jakub,Jarosz,Jakub Jarosz (Legavolley 2012),Q1341322
Yoann,Jaumel,Yoann Jaumel (Legavolley 2016),Q3572361
Jani Nikolaev,Jeliazkov,Jani Nikolaev Jeliazkov (Legavolley 2016),Q16862738
Ernesto,Jimenez,Ernesto Jimenez (Legavolley 2016),Q19599015
Nikola,Jovovic,Nikola Jovovic (Legavolley 2016),Q1990605
Michal,Kaczynski,Michal Kaczynski (Legavolley 2015),Q11778857
Denys Viktorovic,Kaliberda,Denys Viktorovic Kaliberda (Legavolley 2016),Q121967
Denis,Kalinin,Denis Kalinin (Legavolley 2016),Q22278496
Lukas,Kampa,Lukas Kampa (Legavolley 2013),Q1876909
Tamas,Kaszap,Tamas Kaszap (Legavolley 2014),Q19410134
Joseph Clarence,Kauliakamoa Jr,Joseph Clarence Kauliakamoa Jr (Legavolley 2014),Q16268461
Niels,Klapwijk,Niels Klapwijk (Legavolley 2013),Q11791526
Emanuel,Kohut,Emanuel Kohut (Legavolley 2015),Q788776
Danijel,Koncilja,Danijel Koncilja (Legavolley 2016),Q22269418
Wytze,Kooistra,Wytze Kooistra (Legavolley 2014),Q1153544
Dick,Kooy,Dick Kooy (Legavolley 2012),Q3706953
