Filename,"Personal category"
"File:Andrea Coali (Legavolley 2013).jpg","Category:Andrea Coali"
"File:Andrea Surace (Legavolley 2013).jpg","Category:Andrea Surace"
"File:Andrea Zancla (Legavolley 2013).jpg","Category:Andrea Zancla"
"File:Andreas Dimitrios Fragkos (Legavolley 2013).jpg","Category:Andreas Dimitrios Fragkos"
"File:Angel Trinidad De Haro (Legavolley 2013).jpg",
"File:Antonin Rouzier (Legavolley 2013).jpg","Category:Antonin Rouzier"
"File:Carmelo Muscarà (Legavolley 2013).jpg","Category:Carmelo Muscarà"
"File:Costantino Mirenda (Legavolley 2013).jpg","Category:Costantino Mirenda"
"File:Dario Berni (Legavolley 2013).jpg","Category:Dario Berni"
"File:Davide Monesi (Legavolley 2013).jpg","Category:Davide Monesi"
"File:Davide Saitta (Legavolley 2013).jpg","Category:Davide Saitta"
"File:Donald Suxho (Legavolley 2013).jpg","Category:Donald Suxho"
"File:Dàvid Szabo (Legavolley 2013).jpg",
"File:Edoardo Pizzileo (Legavolley 2013).jpg","Category:Edoardo Pizzileo"
"File:Emanuele Petrosillo (Legavolley 2013).jpg","Category:Emanuele Petrosillo"
"File:Emanuele Sborgia (Legavolley 2013).jpg","Category:Emanuele Sborgia"
"File:Enrico Scarpi (Legavolley 2013).jpg","Category:Enrico Scarpi"
"File:Enrico Zampetti (Legavolley 2013).jpg","Category:Enrico Zampetti"
"File:Fabio Di Pinto (Legavolley 2013).jpg","Category:Fabio Di Pinto"
"File:Federico Braico (Legavolley 2013).jpg","Category:Federico Braico"
"File:Filipe Fontes Pinto (Legavolley 2013).jpg","Category:Filipe Fontes Pinto"
"File:Francesco Pieri (Legavolley 2013).jpg","Category:Francesco Pieri"
"File:Gazmend Husaj (Legavolley 2013).jpg","Category:Gazmend Husaj"
"File:Gert Van Walle (Legavolley 2013).jpg","Category:Gert Van Walle"
"File:Giacomo Rigoni (Legavolley 2013).jpg","Category:Giacomo Rigoni"
"File:Gianluca Nuzzo (Legavolley 2013).jpg","Category:Gianluca Nuzzo"
"File:Gianpio Aprea (Legavolley 2013).jpg","Category:Gianpio Aprea"
"File:Giorgio Guglielmo (Legavolley 2013).jpg","Category:Giorgio Guglielmo"
"File:Giorgio Russo (Legavolley 2013).jpg","Category:Giorgio Russo"
"File:Giuseppe Scialò (Legavolley 2013).jpg","Category:Giuseppe Scialò"
"File:Giuseppe Sette (Legavolley 2013).jpg","Category:Giuseppe Sette"
"File:Giuseppe Spicolo (Legavolley 2013).jpg","Category:Giuseppe Spicolo"
"File:Giuseppe Zito (Legavolley 2013).jpg","Category:Giuseppe Zito"
"File:Ivan Benito Ruiz (Legavolley 2013).jpg",
"File:Jason De Rocco (Legavolley 2013).jpg","Category:Jason De Rocco"
"File:Javier Gonzalez (Legavolley 2013).jpg","Category:Javier Gonzalez"
"File:Juan Manuel Gonzalez (Legavolley 2013).jpg","Category:Juan Manuel Gonzalez"
"File:Kevin Tillie (Legavolley 2013).jpg",
"File:Konstantin Cupkovic (Legavolley 2013).jpg","Category:Konstantin Čupković"
"File:Kyle Williamson (Legavolley 2013).jpg","Category:Kyle Williamson"
"File:Leondino Giombini (Legavolley 2013).jpg","Category:Leondino Giombini"
"File:Lincoln Alexander Williams (Legavolley 2013).jpg","Category:Lincoln Alexander Williams"
"File:Lorenzo Smerilli (Legavolley 2013).jpg","Category:Lorenzo Smerilli"
"File:Lorenzo Tescaro (Legavolley 2013).jpg","Category:Lorenzo Tescaro"
"File:Lorenzo Tosi (Legavolley 2013).jpg","Category:Lorenzo Tosi"
"File:Luca Di Felice (Legavolley 2013).jpg","Category:Luca Di Felice"
"File:Luca Sirri (Legavolley 2013).jpg","Category:Luca Sirri"
"File:Luigi Mastrangelo (Legavolley 2013).jpg","Category:Luigi Mastrangelo"
"File:Lukas Kampa (Legavolley 2013).jpg","Category:Lukas Kampa"
"File:Manuele Cricca (Legavolley 2013).jpg","Category:Manuele Cricca"
"File:Marcel Gromadowski (Legavolley 2013).jpg","Category:Marcel Gromadowski"
"File:Marco Barsi (Legavolley 2013).jpg","Category:Marco Barsi"
"File:Marco Pappadà (Legavolley 2013).jpg","Category:Marco Pappadà"
"File:Marcus Guttmann (Legavolley 2013).jpg","Category:Marcus Guttmann"
"File:Martin Nicolas Bruno (Legavolley 2013).jpg","Category:Martin Nicolas Bruno"
"File:Matteo Caciorgna (Legavolley 2013).jpg","Category:Matteo Caciorgna"
"File:Matteo Casarin (Legavolley 2013).jpg","Category:Matteo Casarin"
"File:Matteo Daolio (Legavolley 2013).jpg","Category:Matteo Daolio"
"File:Matteo Martino (Legavolley 2013).jpg","Category:Matteo Martino"
"File:Mattia Coscione (Legavolley 2013).jpg","Category:Mattia Coscione"
"File:Miha Plot (Legavolley 2013).jpg","Category:Miha Plot"
"File:Miquel Angel Fornés Jul (Legavolley 2013).jpg","Category:Miquel Angel Fornés Jul"
"File:Nemanja Jakovljevic (Legavolley 2013).jpg","Category:Nemanja Jakovljevic"
"File:Nico Freriks (Legavolley 2013).jpg","Category:Nico Freriks"
"File:Niels Klapwijk (Legavolley 2013).jpg","Category:Niels Klapwijk"
"File:Nikola Grbic (Legavolley 2013).jpg","Category:Nikola Grbić"
"File:Pablo Damian Crer (Legavolley 2013).jpg","Category:Pablo Crer"
"File:Paolo Cozzi (Legavolley 2013).jpg","Category:Paolo Cozzi"
"File:Patrick Steuerwald (Legavolley 2013).jpg","Category:Patrick Steuerwald"
"File:Randy Preval (Legavolley 2013).jpg","Category:Randy Preval"
"File:Riccardo Tobaldi (Legavolley 2013).jpg","Category:Riccardo Tobaldi"
"File:Robertlandy Simon (Legavolley 2013).jpg","Category:Robertlandy Simón"
"File:Rudi Rea (Legavolley 2013).jpg","Category:Rudi Rea"
"File:Rudinei Boff (Legavolley 2013).jpg","Category:Rudinei Boff"
"File:Sandro Clemente Caci (Legavolley 2013).jpg","Category:Sandro Clemente Caci"
"File:Sergio Seregni (Legavolley 2013).jpg","Category:Sergio Seregni"
"File:Simone Riolo (Legavolley 2013).jpg","Category:Simone Riolo"
"File:Stefano De Leo (Legavolley 2013).jpg","Category:Stefano De Leo"
"File:Stefano Thiaw (Legavolley 2013).jpg","Category:Stefano Thiaw"
"File:Tomasz Calligaro (Legavolley 2013).jpg","Category:Tomasz Calligaro"
"File:Vincenzo Civita (Legavolley 2013).jpg","Category:Vincenzo Civita"
"File:Zbigniew Bartman (Legavolley 2013).jpg","Category:Zbigniew Bartman"
"File:Adam White (Legavolley 2014).jpg","Category:Adam White (volleyball)"
"File:Aleksandar Blagojevic (Legavolley 2014).jpg","Category:Aleksandar Blagojevic"
"File:Aleksej Aleksandrovic Ostapenko (Legavolley 2014).jpg","Category:Aleksej Aleksandrovic Ostapenko"
"File:Alessandro Cirocco (Legavolley 2014).jpg","Category:Alessandro Cirocco"
"File:Alessandro Paparoni (Legavolley 2014).jpg","Category:Alessandro Paparoni"
"File:Andrea Cerbo (Legavolley 2014).jpg","Category:Andrea Cerbo"
"File:Andrea Garghella (Legavolley 2014).jpg","Category:Andrea Garghella"
"File:Andrea Kouznetsov (Legavolley 2014).jpg","Category:Andrea Kouznetsov"
"File:Andrea Semenzato (Legavolley 2014).jpg","Category:Andrea Semenzato"
"File:Andres Villena (Legavolley 2014).jpg",
"File:Andri Aganits (Legavolley 2014).jpg","Category:Andri Aganits"
"File:Antonio Ancora (Legavolley 2014).jpg","Category:Antonio Ancora"
"File:Antwain Delawarence Aguillard (Legavolley 2014).jpg","Category:Antwain Delawarence Aguillard"
"File:Apostolos Armenakis (Legavolley 2014).jpg","Category:Apostolos Armenakis"
"File:Arpad Baroti (Legavolley 2014).jpg","Category:Arpad Baroti"
"File:Asclepio Nicolazzo (Legavolley 2014).jpg","Category:Asclepio Nicolazzo"
"File:Bartosz Kurek (Legavolley 2014).jpg","Category:Bartosz Kurek"
"File:Benjamin Toniutti (Legavolley 2014).jpg","Category:Benjamin Toniutti"
