id,cognome,nome,Altezza,DataNascita,NazioneNascita,LuogoNascita,NazionalitaSportiva,UltimaSquadra,ultimastagione,URLFoto
COD-LOR-96,Codarin,Lorenzo,200,03/09/1996,ITA,Palmanova,ITA,Centrale Del Latte McDonald'S Brescia,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=COD-LOR-96
COL-AND-99,Colangeli,Andrea,NULL,25/03/1999,ITA,NULL,ITA,Monini Spoleto,2016,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=COL-AND-99
COL-FIO-94,Colarusso,Fiorenzo,190,10/05/1994,ITA,Napoli,ITA,GoldenPlast Potenza Picena,2016,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=COL-FIO-94
COL-GIA-95,Colella,Gianfranco,NULL,06/07/1995,ITA,Mola di Bari,ITA,NGM Mobile Santa Croce,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=COL-GIA-95
COL-LEO-96,Colli,Leonardo,195,15/03/1996,ITA,Pontedera,ITA,Kemas Lamipel Santa Croce,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=COL-LEO-96
COL-MAR-00,Collarini,Marco,NULL,13/04/2000,ITA,NULL,ITA,Club Italia Roma,2015,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=COL-MAR-00
COL-MAS-85,Colaci,Massimo,180,21/02/1985,ITA,Gagliano del Capo,ITA,Sir Safety Conad Perugia,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=COL-MAS-85
COM-ALE-95,Compagnin,Alessandro,NULL,NULL,ITA,NULL,ITA,Club Italia Roma,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=COM-ALE-95
COM-ROB-97,Cominetti,Roberto,196,20/04/1997,ITA,Bergamo,ITA,Pool Libertas Cantù,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=COM-ROB-97
CON-FAC-89,Conte,Facundo,193,25/08/1989,ARG,Buenos Aires,ARG,Acqua Paradiso Monza Brianza,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CON-FAC-89
CON-FAC-89,Conte,Facundo,193,25/08/1989,ARG,Buenos Aires,ARG,Energy Resources San Giustino,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CON-FAC-89
CON-MAT-93,Consalvo,Matteo,200,05/10/1993,ITA,Roma,ITA,Ceramica Globo Civita Castellana,2016,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CON-MAT-93
COO-BRI-92,Cook,Brian,198,01/06/1992,USA,Monterey,USA,Azimut Modena,2016,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=COO-BRI-92
COP-ALE-83,Coppola,Alessio,178,19/09/1983,ITA,Napoli,ITA,Sidigas Atripalda,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=COP-ALE-83
COP-RIC-96,Copelli,Riccardo,198,16/03/1996,ITA,Casalmaggiore,ITA,Geosat Geovertical Lagonegro,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=COP-RIC-96
