0COLY,ferdinand-coly
FRMNB,fabio-firmani
FRNCSM,cosimo-francioso
FRNDVD,david-fiorentini
FRNFD,federico-franchini
FRNKKE,frank-kessie
FRNMRZ,maurizio-franzone
FRRCL,claudio-ferrarese
FRRFR,federico-freire
FRRGM,gian-marco-ferrari
FRRRCR,ciro-ferrara
FRRTTR,ettore-ferraroni
FRSMH,michele-fornasier
FSCFS,vasco-faisca
FSCLC,luca-fusco
FSSMZ,marco-fossati
FSTMX,marco-festa
FTTDM,stefano-fattori
FUSMA,massimiliano-fusani
FZFDR,federico-fazio
GABFRA,franco-gabrieli
GALFB,fabio-gallo
GALFR,francesco-galeoto
GANMA,maurizio-ganz
GARLUI,luigi-garzya
GATTU,gennaro-gattuso
GAZFRA,francesco-gazzaneo
GBBMS,massimo-gobbi
GBBMTT,matteo-gabbia
GBFRL,gabriele-ferla
GBLCN,fabio-lucioni
GBPDW,mirko-antonucci
GBRLG,ugo-gabrieli
GBRLMD,gabriel-barbosa
GBRSL,gabriel-silva
GBRST,stefano-guberti
GCFKH,karol-linetty
GCHRB,robert-gucher
GCMWX,andrea-tiritiello
GCZRB,robert-feczesin
GDSDN,denis-godeas
GEMIT,giuseppe-gemiti
GGLNLC,luca-gagliano
GGRSB,marios-oikonomou
GHDDF,al-saadi-gheddafi
GHDSMN,simone-ghidotti
GHLFZ,faouzi-ghoulam
GHOMS,antonio-ghomsi
GHZBD,abdelkader-ghezzal
GIAMAR,marco-giandebiaggi
GIAMS,massimiliano-giacobbo
GIASIL,silvio-vittorio-giampietro
GIORG,luigi-giorgi
GIUAL,alberto-giuliatto
GIURO,giuseppe-rossi
GKTML,bruno-uvini
GLBND,andrey-galabinov
GLKKM,kamil-glik
GLLBW,alberto-iglio
GLLDN,daniele-galloppa
GLLLB,alberto-gallo
GLLLPP,filippo-gilli
GLLPR,pierluigi-gollini
GLNDR,andrea-giallombardo
GLRBR,alberto-gilardino
GLRFD,federico-agliardi
GLSSG,gianluca-galasso
GLTJF,jean-gillet
GMBLL,alessandro-gamberini
GMPDM,domenico-giampa-
GMPFD,federico-giampaolo
GMSCLD,joao-claudio-gomes-ricciulli
GMSLY,lys-gomis
GMZLJ,alejandro-gomez
GMZSTV,gustavo-gomez
GNDLG,luigi-giandomenico
GNDMN,manuel-giandonato
GNFGV,giovanni-ignoffo
GNHDD,eddy-gnahore-
GNLMX,maxime-gonalons
GNNNC,niccolo-giannetti
GNNSQL,pasquale-giannotti
GNOUX,bryan-bergougnoux
GNTSN,santiago-gentiletti
GNVRG,gael-genevier
GOLGIU,giuseppe-galderisi
GQQMS,moise-kean
GRAAL,alessandro-grandoni
GRACO,corrado-grabbi
GRCCV,simone-pontisso
GRCED,edgars-gauracs
GRCGP,giuseppe-greco
GRCKD,luca-vido
GRCLN,leandro-greco
GRCSN,santiago-garcia
GRMRW,mirko-gori
GRNFN,francesco-grandolfo
GRNNDR,alessandro-guarnone
GRNPM,pablo-granoche
GRNSR,sergei-gurenko
GRNTT,tiberio-guarente
GRPRV,girolamo-provenzano
GRRGD,guido-guerrieri
GRRRR,rodrigo-aguirre
GRSCR,carlos-grossmuller
GRSFB,fabio-grosso
GRSLV,salvador-agra
GRSNQ,gerson
GRSSBG,biagio-grasso
GRSSD,daniele-grassi
GRTRB,roberto-goretti
GRTTFN,stefano-garuti
GSNRBN,robin-gosens
GSPBR,bruno-gaspar
GSPDN,daniele-gasparetto
