id,cognome,nome,Altezza,DataNascita,NazioneNascita,LuogoNascita,NazionalitaSportiva,UltimaSquadra,ultimastagione,urlFoto
BLE-NIC-92,Bleggi,Nicolò,195,1992-05-18,ITA,Trento,ITA,Mosca Bruno Bolzano,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BLE-NIC-92
BOE-FIL-93,Boesso,Filippo,190,1993-08-02,ITA,Camposampiero,ITA,Sigma Aversa,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOE-FIL-93
BOF-MAT-96,Boffi,Matteo,180,1996-05-12,ITA,Giussano,ITA,Pool Libertas Cantù,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOF-MAT-96
BOF-RUD-86,Boff,Rudinei,197,1986-10-23,BRA,NULL,BRA,Elettrosud Brolo,2013,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOF-RUD-86
BOH-MAR-85,Bohme,Marcus,211,1985-08-25,GER,Berlino,GER,Altotevere San Giustino,2012,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOH-MAR-85
BOL-MAT-90,Bolla,Matteo,197,1990-03-05,ITA,Milano,ITA,Banca Alpi Marittime Acqua S. Bernardo Cuneo,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOL-MAT-90
BON-DAN-77,Boninfante,Dante,188,1977-03-07,ITA,Battipaglia,ITA,Diatec Trentino,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BON-DAN-77
BON-DUS-95,Bonacic,Dusan,197,1995-07-19,CHI,Santiago del Cile,CHI,Elios Messaggerie Catania,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BON-DUS-95
BON-EMA-89,Bondini,Emanuele,190,1989-10-09,ITA,Roma,ITA,Maury's Italiana Assicurazioni Tuscania,2016,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BON-EMA-89
BON-FED-93,Bonami,Federico,183,1993-09-29,ITA,Bagno a Ripoli,ITA,Globo Banca Popolare del Frusinate Sora,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BON-FED-93
BON-GIU-95,Bonina,Giuseppe,186,1995-01-10,ITA,Patti,ITA,Elettrosud Brolo,2013,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BON-GIU-95
BON-LOR-88,Bonetti,Lorenzo,197,1988-01-21,ITA,Bergamo,ITA,Kemas Lamipel Santa Croce,2016,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BON-LOR-88
BON-LUC-98,Bonisoli,Luca Maria,182,1998-04-23,ITA,Brescia,ITA,Centrale Del Latte McDonald'S Brescia,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BON-LUC-98
BON-PAO-92,Bonola,Paolo,188,1992-06-25,ITA,Sondrio,ITA,Pag Taviano,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BON-PAO-92
BON-SIM-92,Bonante,Simone,189,1992-04-05,ITA,Roma,ITA,Tinet Gori Wines Prata di Pordenone,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BON-SIM-92
BOR-DAV-97,Borraccino,Davide,195,1997-07-01,ITA,Roma,ITA,Roma Volley,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOR-DAV-97
BOR-IVA-89,Borovnjak,Ivan,202,1989-07-04,SRB,NULL,SRB,Revivre Milano,2015,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOR-IVA-89
BOR-LUC-93,Borgogno,Luca,198,1993-04-27,ITA,Cuneo,ITA,Synergy Arapi F.lli Mondovì,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOR-LUC-93
BOR-MAT-89,Bortolozzo,Matteo,200,1989-08-01,ITA,Camposampiero,ITA,Tinet Gori Wines Prata di Pordenone,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOR-MAT-89
BOR-RIC-94,Bortolini,Riccardo,180,1994-10-03,ITA,Castelfranco Veneto,ITA,Acqua Fonteviva Massa,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOR-RIC-94
BOR-SER-83,Boroni,Sergio,197,1983-01-19,ITA,Bergamo,ITA,CheBanca! Milano,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOR-SER-83
BOS-ELI-94,Bossi,Elia,202,1994-08-15,ITA,Trieste,ITA,Revivre Axopower Milano,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOS-ELI-94
BOS-EMA-97,Bosio,Emanuele,198,1997-10-06,ITA,Savigliano,ITA,Synergy Arapi F.lli Mondovì,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOS-EMA-97
BOS-GIU-86,Boscaini,Giuseppe,188,1986-10-11,ITA,Catania,ITA,Geosat Geovertical Lagonegro,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOS-GIU-86
BOS-HID-95,Boswinkel,Hidde,201,1995-03-30,NED,Ootmarsum,NED,Geosat Geovertical Lagonegro,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOS-HID-95
BOT-IAC-87,Botto,Iacopo,190,1987-09-22,ITA,La Spezia,ITA,Vero Volley Monza,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOT-IAC-87
BOT-MAS-73,Botti,Massimo,196,1973-05-23,ITA,Piacenza,ITA,Pallavolo Molfetta,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOT-MAS-73
