FILE_WLINK,FILE_THUMB,TITLE,DESCRIPTION,LICENSE,DATE,AUTHOR,CREATOR_COMMONS_LINK,SIZE_TEMPLATE,MEDIUM,DOI_ID,SOURCE
"[[:File:Rovine del Ministero delle Finanze dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine del Ministero delle Finanze dopo l'incendio del maggio 1871.jpg|100px]]","{{it|Ministère des Finances}}","{{it|Rovine del Ministero delle Finanze dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51615,https://iconoteca.arc.usi.ch/it/inventario/51615
"[[:File:Resti della Colonna Vendôme, abbattuta il 16 maggio 1871 dai comunardi.jpg]]","[[File:Resti della Colonna Vendôme, abbattuta il 16 maggio 1871 dai comunardi.jpg|100px]]",,"{{it|Resti della Colonna Vendôme, abbattuta il 16 maggio 1871 dai comunardi}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51616,https://iconoteca.arc.usi.ch/it/inventario/51616
"[[:File:Rovine del Palazzo Reale dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine del Palazzo Reale dopo l'incendio del maggio 1871.jpg|100px]]","{{it|Palais Royal}}","{{it|Rovine del Palazzo Reale dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51617,https://iconoteca.arc.usi.ch/it/inventario/51617
"[[:File:Rovine del Palazzo della Legione d'Onore dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine del Palazzo della Legione d'Onore dopo l'incendio del maggio 1871.jpg|100px]]","{{it|Légion d'Honneur}}","{{it|Rovine del Palazzo della Legione d'Onore dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51618,https://iconoteca.arc.usi.ch/it/inventario/51618
"[[:File:Rovine di un palazzo sul lungosenna, dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine di un palazzo sul lungosenna, dopo l'incendio del maggio 1871.jpg|100px]]",,"{{it|Rovine di un palazzo sul lungosenna, dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51619,https://iconoteca.arc.usi.ch/it/inventario/51619
"[[:File:Rovine dell'Arsenale dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine dell'Arsenale dopo l'incendio del maggio 1871.jpg|100px]]",{{it|Arsenal}},"{{it|Rovine dell'Arsenale dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51620,https://iconoteca.arc.usi.ch/it/inventario/51620
"[[:File:Rovine lungo la rue de Lille dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine lungo la rue de Lille dopo l'incendio del maggio 1871.jpg|100px]]","{{it|Rue de Lille, P.L.}}","{{it|Rovine lungo la rue de Lille dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51621,https://iconoteca.arc.usi.ch/it/inventario/51621
"[[:File:Rovine del Granaio di riserva dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine del Granaio di riserva dopo l'incendio del maggio 1871.jpg|100px]]","{{it|Grenier d'Abondance}}","{{it|Rovine del Granaio di riserva dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico",51622,https://iconoteca.arc.usi.ch/it/inventario/51622
"[[:File:Rovine degli edifici affacciati su Place de la Bastille dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine degli edifici affacciati su Place de la Bastille dopo l'incendio del maggio 1871.jpg|100px]]","{{it|Place de la Bastille}}","{{it|Rovine degli edifici affacciati su Place de la Bastille dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51623,https://iconoteca.arc.usi.ch/it/inventario/51623
"[[:File:Colonna di Luglio vista dalla Senna.jpg]]","[[File:Colonna di Luglio vista dalla Senna.jpg|100px]]","{{it|Colonne de Juillet}}","{{it|Colonna di Luglio vista dalla Senna}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51624,https://iconoteca.arc.usi.ch/it/inventario/51624
"[[:File:Resti del Teatro della Porte de Saint-Martin dopo l'incendio del maggio 1871.jpg]]","[[File:Resti del Teatro della Porte de Saint-Martin dopo l'incendio del maggio 1871.jpg|100px]]","{{it|Théâtre de la Porte St. Martin}}","{{it|Resti del Teatro della Porte de Saint-Martin dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51625,https://iconoteca.arc.usi.ch/it/inventario/51625
"[[:File:Banchine della Villette dopo l'incendio del maggio 1871.jpg]]","[[File:Banchine della Villette dopo l'incendio del maggio 1871.jpg|100px]]","{{it|Docks de la Villette, P. L.}}","{{it|Banchine della Villette dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51626,https://iconoteca.arc.usi.ch/it/inventario/51626
"[[:File:Rovine della piazza di Saint Cloud dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine della piazza di Saint Cloud dopo l'incendio del maggio 1871.jpg|100px]]","{{it|St. Cloud, P. L.}}","{{it|Rovine della piazza di Saint Cloud dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51627,https://iconoteca.arc.usi.ch/it/inventario/51627
"[[:File:Rovine di Saint Cloud dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine di Saint Cloud dopo l'incendio del maggio 1871.jpg|100px]]","{{it|Porte di St. Cloud, P. L.}}","{{it|Rovine di Saint Cloud dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51628,https://iconoteca.arc.usi.ch/it/inventario/51628
"[[:File:Rovine del Fort d'Issy dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine del Fort d'Issy dopo l'incendio del maggio 1871.jpg|100px]]","{{it|Fort d'Issy}}","{{it|Rovine del Fort d'Issy dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51629,https://iconoteca.arc.usi.ch/it/inventario/51629
"[[:File:Rovine dell'Arret d'Auteuil dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine dell'Arret d'Auteuil dopo l'incendio del maggio 1871.jpg|100px]]","{{it|Arret d'Auteuil, P. L.}}","{{it|Rovine dell'Arret d'Auteuil dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51630,https://iconoteca.arc.usi.ch/it/inventario/51630
